filename;id;type;MER;centre;width;length;centre_w;theta;color;hole_1_centre;hole_1_d_1;hole_1_d_2;hole_2_centre;hole_2_d_1;hole_2_d_2
TESI00.bmp;0;A;[(68, 225), (31, 224), (35, 47), (72, 48)];(54, 148);37.27;177.26;7.0;3.9;#F8BBD0;(51, 200);26.54;20.36;[];0.0;0.0
TESI00.bmp;1;B;[(121, 178), (94, 175), (106, 44), (133, 47)];(115, 115);26.98;131.73;6.32;6.0;#B39DDB;(110, 159);28.8;22.29;(121, 60);24.53;19.44
TESI00.bmp;2;A;[(211, 210), (152, 52), (189, 38), (248, 197)];(199, 113);39.78;169.35;7.07;157.02;#1E88E5;(179, 69);26.26;20.67;[];0.0;0.0
TESI01.BMP;0;A;[(68, 225), (31, 224), (35, 47), (72, 48)];(54, 148);37.27;177.26;7.0;3.91;#A7FFEB;(51, 200);26.65;20.28;[];0.0;0.0
TESI01.BMP;1;B;[(121, 178), (94, 175), (106, 44), (133, 47)];(115, 115);26.99;131.73;6.32;6.03;#B2DFDB;(110, 159);28.79;22.37;(121, 60);24.54;19.4
TESI01.BMP;2;A;[(210, 210), (151, 52), (189, 38), (248, 196)];(199, 113);39.88;169.0;7.07;156.9;#F8BBD0;(179, 69);26.3;20.57;[];0.0;0.0
TESI12.BMP;0;A;[(33, 192), (33, 142), (168, 142), (168, 192)];(110, 172);50.0;136.0;9.22;84.65;#1E88E5;(150, 168);27.11;20.84;[];0.0;0.0
TESI12.BMP;1;B;[(76, 133), (75, 98), (175, 96), (176, 131)];(129, 117);35.09;100.13;8.0;86.44;#B39DDB;(87, 119);25.05;19.38;(163, 115);28.8;22.22
TESI12.BMP;2;A;[(44, 146), (13, 115), (120, 7), (151, 38)];(78, 86);43.81;152.07;8.49;48.26;#FB8C00;(45, 116);26.93;20.2;[];0.0;0.0
TESI21.BMP;0;A;[(105, 256), (65, 217), (200, 79), (240, 119)];(159, 157);55.8;193.12;10.63;47.91;#B2DFDB;(201, 120);33.7;25.39;[];0.0;0.0
TESI21.BMP;1;B;[(94, 174), (60, 157), (130, 17), (164, 34)];(114, 91);37.12;156.52;8.54;26.34;#B39DDB;(84, 150);31.55;24.26;(138, 45);33.84;27.31
TESI31.BMP;0;B;[(20, 181), (20, 135), (147, 135), (147, 181)];(87, 160);46.0;127.0;11.66;86.64;#7E57C2;(33, 164);31.2;23.67;(129, 158);35.89;27.83
TESI31.BMP;1;A;[(165, 253), (119, 229), (215, 45), (261, 69)];(193, 136);52.11;208.07;9.43;29.86;#FB8C00;(224, 84);33.16;24.75;[];0.0;0.0
Tesi33.bmp;0;A;[(101, 220), (64, 175), (210, 57), (247, 103)];(149, 150);58.52;187.25;11.18;55.31;#B2DFDB;(105, 180);33.55;25.92;[];0.0;0.0
Tesi33.bmp;1;A;[(58, 203), (17, 166), (148, 21), (189, 59)];(109, 101);55.56;194.87;11.7;45.21;#FF3D00;(150, 62);32.93;25.79;[];0.0;0.0
